sender,value
0x9E64B47bBdb9c1F7B599f11987b84C416C0c4110,10000000000000000
0xF5c27c6fE782cbB5c85989ea3e75754748153459,480000000000000000000
0xe8d0587D82Ae54b0dd1F8E234bA3f0Ce1E2f047A,330000000000000000
0x198ad6C547D20d70f2F656a4F48e6c7cfb7B4325,240000000000000000000
0x6dc88B231Cd04Dd1b1e525161162993F47140006,2000000000000000000
0x82Bb6B5e92E1143fC03ee468a7Ba9Df8e955f7c2,100000000000000000
0x408d5559A74f0aC2d712fc2c3C6D8f47c28E3EAB,10000000000000000
0xd783947ce4924147f35b319BD247eE628E7fB0BE,11000000000000000000
0xB906eE7c554124214b2C036c0eefa431734d93D8,70000000000000000
0xd310D067bdc5Bc05ce93478125D5E5551F74fe95,360000000000000000
0x9548687F9a7429E54Fc248Eb1886c97Cbbf7b7FF,50000000000000000
0x52F0751a499e10b9EF3E8121086C3fe4799104dd,40000000000000000
0x14FdfD2954A6a20eb6C459fe868423136499cD17,250000000000000000
0xd61daEBC28274d1feaAf51F11179cd264e4105fB,25000000000000000
0xFf3938d59b37B9Bab0D647e5a915E052892B21B7,20000000000000000
0x403089B876128B97012AEe31e3f91B4f6CfEBEde,69000000000000000
0x0655048357631b744a110634c55f0634c93847C3,1000000000000000000
0x2Eb5E41673506c9acFC94b665BD0Ca5B5F7335f9,200000000000000000
0xC912E55e813753f91f96054EaCF4E342A6061f1A,500000000000000000
0xda23E435c4E7a0DF51F4A97210D0f9C6535483f4,60000000000000000
0x513B72af8B798302d918b26bBACDd5D0bC1D0f7B,1000000000000000000
0x035E8A0A57f24FD10D447c6cE44524513dd6e09C,100000000000000000
0xC098B2a3Aa256D2140208C3de6543aAEf5cd3A94,22000000000000000
0xAa4279b9364C541ffe47E53f1a8c8BDb7A78ec11,1000000000000000000
0xe4423bd6A31EDE56E508275D7a0536D52a269680,250000000000000000
0x77fa1eE96A92A4F5a64e53Abf906Fbc00d9A788E,400000000000000000
0xc1165124be8DC53A3826A1AA1B6643e9138d167C,5000000000000000000
0x3FCe5449C7449983e263227c5AAEACB4A80B87C9,1000000000000000000
0xaA4d65D31C17372804Af9660A7F34C983f0355F0,30011020789617535
0xFc70FF220C546A16b9a5040718Ae3bd9a16A6A4B,2000000000000000000
0xCb114805B901F7a9c38d5675272eF26459a7D805,1000000000000000000
0xeDC8501C9F4173e2A76Bff49C0B571f14903a7e7,22040000000000000
0x68d36DcBDD7Bbf206e27134F28103abE7cf972df,2500000000000000000
0x3055Bc8db0a3998500beF8bC0980f03f47f8a3D4,500000000000000000
0x2Ac6D067aF9bB735659C5918b2667ce8B1C52667,1000000000000000000
0x296273c5088e8b342f6462d7ce58Cae21b9cD9Da,9630000000000000000
0x0c2E9A64c9382BC2f99b092B3D0c3164375536D3,5000000000000000000
0xA8374EF7208c131a0F8F59a57BAf9259B3303124,500000000000000000
0xd61927a37A4719c6021F84fdE20A8E8654954d9B,670000000000000000
0x9A44394ffd96a78d0B5c5b2f5DCFF6052C70176d,5520000000000000
0x97baf11CEbE3f3C3dC38C578604Ed178D65609bA,1000000000000000000
0x29825Bf65Ad0Ee73c79dFa2814815291F1fb2bFd,500000000000000000
0x96559b33D6A9042b1C34b3e8978Ca922146cB79a,100000000000000000
0x053063c934bC1C960D3c69FeFa891fe02E8E67c9,500000000000000000
0xAc41360852F07c7A39F24DD0E8448a2e05535a18,110380000000000000
0xFa8fE2881804b1Ae1962D64f6a05afC02b630EbE,3000000000000000000
0x0f98490ED481611Ae1945C62274a20480c8cdC40,165000000000000000
0xD26A3f1e6Ae20e7cF2dE9FE9c58f871faAc5Dc6b,300000000000000000
0xBB959f3e8Dae3D06BFCbD4EDd25845a7de571216,100000000000000000
0xa267F3A4a92531f47811E05E890E977a0fe375b4,2210000000000000000
0x4b6B6B3AE4Abd49B5604E7F78942fbe2e1d07E37,100000000000000000
0xbA69961BD9ADf7B84a1a69f09D4f2EE16Aa1a21C,500000000000000000
0xEDe3E27D91b9593E9a151b727287a2A3b8bAbE0F,1000000000000000
0x4ad64983349C49dEfE8d7A4686202d24b25D0CE8,20015580000000000
0xcE13bda9dbB5d9edAc09188B3455E7B6B54d5009,3000000000000000000
0x2342B8412558605AcbbA5f98963c996726535b87,1000000000000000000
0x206B0526f4866E7580780015cbaCbB4a8dbB8C80,350000000000000000
0x52eDD9FE27a2Efdd6233c9073068A51C2B0cf352,500000000000000000
0xffE800a1634DD2839dd59ea7D2438Dc0DC7642BC,250000000000000000
0xBef33C394213BD8A240C16c86a03C76d7E7bE1fa,340000000000000000
0x689Afbae02a62d10e9a20A6f76B08D94eB7361f0,50000000000000000
0x343535588e9b46ca94DDf3fdf49092c7430F2f03,200000000000000000
0x998B2f783b68D3d118B938172921E37E33821D71,180000000000000000
0x199F25d1Fa35e582BFB7D4917A1C75D631500521,150000000000000000
0x2222222229b89C7844F19ef503C4dC503Be47F84,5000000000000000000
0x33995E2CC296496e911d92a25E849E7116C32564,5570000000000000
0xCbce294bF5276DFeACEC88AE8EA4d13B26BFAC6E,12000000000000000000
0xF22d91bd4E3319657273534fC3fe0c93c8F9F01d,1000000000000000000
0xA6684F5984Fa44527d58BC9DEc82f93F11FF4c4B,1000000000000000000
0x1c2b4FA0D716B5f5fF278ba6223C9C27Ddb9383a,4000000000000000000
0x7BE9db95Be395906c12c4Bb35bA343CaFc85646B,950000000000000000
0x4A29fBffb9B1CAB3c2bEe5C2e1c313187a48E492,2000000000000000000
0x385a43f672561762045d0604334C555d6F3E90F0,400000000000000000
0x8358Fc2Dd62c00C1a9Cd0fCB577309A4cead2471,50000000000000000
0x756085e47E85A1C35096112f42f3D3Fef17EE35B,100000000000000000
0x187089B33E5812310Ed32A57F53B3fAD0383a19D,100000000000000000
0x516cAfD745Ec780D20f61c0d71fe258eA765222D,100000000000000000
0x1B0F4AdBD4c87979509419487d575C5275b84a09,111000000000000000
0x392385e84D52393a429501e114F6b879640f22Ed,50000000000000000
0xfF983307058dA622633CFCD2caCE59A90532228c,450000000000000000
0x857456e6abfbAb1160F454Efb552035ACd2228F0,2000000000000000000
0x025Ba795C68f2D1b04366db82Ae9e992dA8179c4,21960887659079180
0x6814D1a7312f83ac620959F48C9a25781Ae17Ec4,500000000000000000
0xFa1C903EaA1f9E0fb256e6D21d4dB63C85c85855,70000000000000000
0xb1e9D641249A2033C37CF1C241a01E717c2F6c76,11500000000000000000
0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,100000000000000000
0xC6abd0e3e4298A381171FD9dEbE9fF4E2A45e9B9,1000000000000000000
0xAA6C7528f619E7fFB4089FdA2a0292276C7C3728,12000000000000000
0x64286000FD9b544F07C6f05f444E9dDd7Cf892A8,10000000000000000
0x9A2eBc2024CAEDA607C8afaE14556775e64Dc16C,50000000000000000
0x5e38306c529F860073C27672AdfD6C200B08659D,23000000000000000
0xbe2B2B0444d5082F7F5c565Dd0EB1FB2Bc6c119D,100000000000000000
0x1968E029cB827943AbdBE3B50204115B2Ded7686,50000000000000000
0xC5A2f28BAcF1425BFAEA14834486F0e9d0832155,500000000000000000
0xE8C9333D6BA367ebd7eD1AFD83088b5B5eA15D84,3777996910299327
0x13904554a77b2af0b1EEc0369834DA0b7102A267,50000000000000000
0x9Eff89cDC31A4c15e0c4acF54Ab4a63fb5117B53,100000000000000000
0xD2e39bFE299634b4269cBA0b273c0bA207128B4f,100000000000000000
0x08F845B2B4D40d2D0510aB5603fF7E102398952D,25000000000000000
0x0c0C3Df3eE78c0E503AE28e14d69a697653b554b,10000000000000000
0x724DB0BdeBAbed495Df6179653B3Ec096B1f7BD6,1040000000000000000
0x37f57B0AdC15B6604503D3e8cb1d2EDA183D9501,500000000000000000
0x186FEd4e49Ae0FB6F312aC81D5aF0397D31Feb8a,1000156219893695119
0x1393DA76a33d128ec89AB11E77c123D128B3DE0d,1000000000000000000
0x7D479d00712d65f4849a711DA4864843CeBF83AE,10000000000000000
0xE2C6a4a3A83399775BA104f16F94D2eAe905d409,25000000000000000
0x210907198Add03941460509Bc7EDC9924E28c33A,15000000000000000000
0x61947Dc508A76D275DEaC048f2C657e6C3db2214,220000000000000000
0x808af82545A721C06D1FcCEbea915a6F5128BeF9,500000000000000000
0x79E841d91EbA9011ae1dfd4389709983917a6334,500000000000000000
0x73D45a302E61B2Cb8f47d1d10d9470e732290f0e,2500000000000000000
0x8a3bC6998e2B9bBAB7717C777aC5109123B81548,1400000000000000000
0xa3ac167B5A6126eDE349cdaf943060EE3cEc47D7,500000000000000000
0x805197344c4f5d990cFBc23E032631AeF0a6987A,5000000000000000000
0x21787EDB16E045B95e4Df3B77393FC3164eC063E,3000000000000000000
0xC7c022BD85529bEd1b92DE4Ba847F3f4e8fd5CbF,10000000000000000000
0xDa1EC4dA97019972759FedA1285878b97FDCC014,100000000000000000000
0xcB81B3827FBD916Fc2fd01a9A508BA7dcf6Cf7dD,50000000000000000
0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,11079780000000000
0xA2FeF1577605689d57F820abEE94529a60E8DA4C,180000000000000000
0x17966F7e987A42D00a633FA0219FdED049682406,30000000000000000000
0xa99aD9A65B4BD030fF0bD441ED4Dc0556831fA3D,5000000000000000000
0xa51Fa51788DE0BC5B534AB4CBa23f0329Ec5512c,4000000000000000000
