sender,value
0x5ee9b86f3d4c48bb5c72927e1e051466d5b0a41a,10000000000000000
0x223f073524ce324011f2ede55e6d10e6cc3f98b4,118000000000000000
0x8a2f43e41f0c30e173861c39223cbcc828612b66,30000000000000000
0xd7dbf2d550400c60c92b7cb1ae0e7cab42931bdc,11287675890000000000
0xdd08023fa5650fee24caabf8649f5cd92cff9ed7,300000000000000
0xfa4572b4e734587fe0b4d415a92e6654c0c71460,13000000000000000
0x54ed4ef9d09553776744a74436efc5620064425d,10000000000000000
0xe350d76165e29ba1770efa72ea3ff32478c49de7,210000000000000000
0xd40c1f4242d17023fa4894812ee7563124b27c66,258720000000000000
0x4a2fc4f1d2004fe2be80706b9b2afe64bc4e4ed7,1000000000000000
0x97bba56d5f5a25dc2a62aed18391080343b4a42f,1000000000000000
0xcd984c891e5cdeba43f00f18152af52879e30997,2500000000000000
0x4059e94f431b2c48373c3cf962b257b7a4b1dc63,100000000000000000
0xc05b7de7e62885f646ac6a49d00f1549037901aa,50000000000000000
0xc102d2544a7029f7ba04beb133deadaa57fdf6b4,0
0x98c45d5ea9ccd8278fe43ba740e967a49cd19e6e,59877220000000000
0x3602111b951b582678accc4e0bbb4393e914d5ae,10000000000000000
0xa34b9488f3f08f68ec2233c14f1cf9b63488ff4c,100000000000000000
0x76608f06ca970ac78876833bed5c9360bde60c1d,300000000000000
0x89ad2a1f98266c760f585c56a661e7334f8f1d91,300000000000000000
0x98ea7637de39ced456a3fc591b444c0e44895263,6756970541653099
0x7d479d00712d65f4849a711da4864843cebf83ae,10000000000000000
0x4610793937733f42ee2a9c9d56be0f8a34623008,0
0x225b4bc64e051827c069312f82fa590ec9632209,50000000000000000
0x7ab45ec5b0ae5058e2ed39574f1f16bb1e26be6a,20000000000000000
0x94cb18d32f7053def9d5f5991eddea392a7f5ed4,100000000000000
0x39258caa0f56db9c9e26f3631586b424f0a64773,3739044599323981
0xa991bbb00541a43d94e653de5042c3859a84da27,50000000000000000
0x0ac0bcfe73f6f632656b1a400131ba1278d81c42,5000000000000000
0x2ced5ac4b869dfb77fb69cad3edd3d451d6b3c06,1000000000000000
0xd076ce23751737346f7640064073a0f59c7bd65b,1000000000000000
0xa4cf800ceb049b117deed4a8062503c56758eb56,3000000000000000
0xbc8fc97c4e2a0f69aac3b6ac4bcce9c8f37cdf30,1221854579755336
0xfa7bc32fbcf4e24bc0f1f3f12c157dbbf8aa1f4d,5783147550148852
0x4eb810eb09c86decb65d2f5830470e5662ab3dd5,2073517730000000
0xf093ccfc9b906ae9505ae59b048a4077f569e1c3,1300000000000000
0xcbd6589724bc92fd7940b4da9d9cc4a9359dc1a0,50000000000000000
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,200000000000000000
0xc0817726f6af52aadaee3eca05f9c0d17383f5d4,700000000000000
0x749355fddbf0e868f37f1fabb3e2809734f89288,10000000000000000
0x79017f49c27a573f156443afb5af2b5815807868,100000000000000000
0x1bf555e99b9056e75f5752ebf6593c4929bf5d50,100000000000000000
0x34a0e8081340d93aae4af9703742f358c43ec3a0,50000000000000000
0xae6cfe01b85467da5a291c2545b250afa8cdf757,200000000000000000
0xc0dda6dc4d8823d5e5ebe7da90a2afd786326786,795876445680550
0x881475210e75b814d5b711090a064942b6f30605,10000000000000000
